Lokasi Posting,Kecamatan/Kab/Kota,Info Tambahan
Asahan,Asahan,"Asahan, North Sumatra · 2.680 orang pernah singgah di sini"
"Labuhanbatu, Sumatera Utara, Indonesia",Labuhanbatu,Kota
Langkat,Langkat,"Langkat, North Sumatra · 19.034 orang pernah singgah di sini"
"Natal, Mandailing Natal",Mandailing Natal,Kota
"Tapanuli, Sumatera Utara, Indonesia",Tapanuli Utara,Kota
Binjai Utara,Binjai,"Binjai Utara, North Sumatra · 26.283 orang pernah singgah di sini"
Kota Gunungsitoli,Gunungsitoli,Kota
"Medan, Indonesia",Medan,Kota
Kota Padang Sidempuan,Padang Sidempuan,Kota
Kota Pematangsiantar,Pematang Siantar,Kota
Kota Sibolga,Sibolga,Kota
Kota Tebing Tinggi,Tebing Tinggi,Kota
